T2toT1_ScaMorph_ncc1_reg1
,Background,WT,TC,ET,,HD_wt,HD_tc,HD_etnon_jec
p_16,0.9971626071803035,0.9263494465945367,0.8280703764072338,0.6913652981872211,2.23606797749979,4.123105625617661,3.3166247903554,0.0023992919921875
p_17,0.9995504922596452,0.9380673394595797,0.9384863395923855,0.7870165410739693,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.006476847330729166
p_18,0.9968132674473982,0.9075506085575126,0.9463848383733874,0.839902175095919,1.7320508075688772,1.4142135623730951,1.4142135623730951,0.0020027669270833333
p_19,0.9975352755814619,0.9359800017853492,0.9364565293742869,0.8323231516005416,2.0,2.0,1.7320508075688772,0.0048854573567708335
p_20,0.9976491039129499,0.9103053282733257,0.904694720102425,0.823609138888665,2.23606797749979,2.8284271247461903,2.23606797749979,0.0026186116536458335
p_21,0.9983891166969041,0.9374569555361226,0.937623613756249,0.813798344788275,2.0,2.0,2.23606797749979,0.0016326904296875
p_22,0.9983367686097898,0.9276109296523164,0.92820594814015,0.716692423142079,2.8284271247461903,2.8284271247461903,2.23606797749979,0.002075398763020833
p_23,0.9985701465757565,0.9166390183614559,0.9126577605856288,0.8609086897466416,2.0,1.7320508075688772,1.4142135623730951,0.006843465169270833
p_24,0.9980950130121564,0.9431126068697142,0.8547793495535031,0.7426362613927104,2.23606797749979,2.0,1.7320508075688772,0.006169230143229167
p_25,0.999643168462794,0.9157643425095221,0.901951726180101,0.8717359168698736,1.7320508075688772,1.7320508075688772,1.4142135623730951,0.0062872314453125
p_26,0.9988571287344249,0.9066487235874806,0.8920982905885764,0.8597859701508646,1.7320508075688772,1.4142135623730951,1.4142135623730951,0.003958943684895833
p_27,0.9969221633251438,0.8971785977726575,0.9378231365159264,0.7824224534846694,2.23606797749979,2.23606797749979,2.23606797749979,0.008878580729166667
p_28,0.9986039391017802,0.9348330083260662,0.9324950030701671,0.840740175010087,2.0,2.23606797749979,2.23606797749979,0.002703857421875
p_29,0.9985286777620375,0.9071777820648558,0.933316244529722,0.7111560876461918,2.8284271247461903,2.449489742783178,2.0,0.0027325439453125
p_30,0.9996276557839002,0.8895014233690247,0.9225915659259837,0.8456814571655294,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.00384521484375
p_31,0.9989430720658631,0.9349129753291331,0.7787864297200408,0.2895238040090704,1.7320508075688772,2.0,2.23606797749979,0.0026234944661458334
p_32,0.9986176214936592,0.9472972004494465,0.9414021851471934,0.8455622577962305,1.7320508075688772,2.0,2.0,0.005241902669270834
p_33,0.9972444934487456,0.8950075377827674,0.9284039636832306,0.8601498205238249,2.0,1.7320508075688772,1.7320508075688772,0.0036997477213541667
p_34,0.9988036397991104,0.931783037187524,0.9186641704846814,0.7189845042590916,2.23606797749979,3.1622776601683795,2.23606797749979,0.006044514973958333
p_35,0.9972681687628447,0.8653457545689466,0.9233254867404959,0.709695423235988,2.23606797749979,2.23606797749979,2.23606797749979,0.0068570963541666665
p_36,0.9988119448986541,0.9210099955430986,0.8210942927629596,0.7148599497767754,2.0,3.0,2.449489742783178,0.002630615234375
p_37,0.997394732839349,0.9194942755224857,0.9361447103280728,0.7987653261475526,2.0,2.23606797749979,2.0,0.0022812906901041666
p_38,0.9996596032026067,0.8770222956045616,0.836435690623012,0.8138062059443912,2.23606797749979,2.23606797749979,2.23606797749979,0.0014613850911458332
p_39,0.9990610136896065,0.9319369378774539,0.9202465621336541,0.837892665876347,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.0071270751953125
p_40,0.9982562698377506,0.9183829285993658,0.915973140204824,0.838311466505905,2.0,1.7320508075688772,1.7320508075688772,0.0030814615885416665
p_41,0.997899710027691,0.9272947953505445,0.9409247667921696,0.8228971454732452,2.23606797749979,2.0,1.7320508075688772,0.0039532470703125
p_42,0.9987058481800745,0.91980014086735,0.9485288309697981,0.747925165020423,2.23606797749979,1.4142135623730951,1.4142135623730951,0.014771728515625
p_43,0.9993102115070771,0.9251223071863057,0.8755298185926036,0.7838190511934037,2.23606797749979,2.0,1.7320508075688772,0.0029768880208333333
p_44,0.9997236171861086,0.9317218407015235,0.9315934223969824,0.7949179857803556,1.4142135623730951,1.7320508075688772,1.7320508075688772,0.0030818684895833333
p_45,0.9990775495860948,0.9345646669007447,0.9384044525740995,0.7697549088869206,2.0,1.7320508075688772,1.7320508075688772,0.0028517659505208335
p_46,0.9982108778243076,0.9232767740745726,0.9175500245523843,0.8161306358147289,2.23606797749979,2.23606797749979,2.0,0.002292887369791667
p_47,0.9965433970602783,0.9128832000780225,0.8719182879271554,0.6030613923294998,2.8284271247461903,3.0,2.449489742783178,0.003577880859375
p_48,0.9983228485895154,0.9082823979409689,0.9261404686187443,0.7215234383614586,2.0,1.7320508075688772,1.4142135623730951,0.00478515625
p_49,0.998302174757245,0.9091836281700821,0.8657111145798693,0.8281527303817877,2.23606797749979,2.449489742783178,2.449489742783178,0.0018772379557291667
p_50,0.9990514451732019,0.9322088873785711,0.9335326920768179,0.5814967184392456,2.23606797749979,2.23606797749979,2.0,0.0028721110026041666
p_51,0.9982027105789053,0.9251089466063723,0.9085763095339474,0.720984556663714,1.7320508075688772,2.23606797749979,2.0,0.004936319986979167
p_52,0.9990923687294456,0.9160013321676737,0.9223864832846634,0.7962679875619272,1.7320508075688772,1.4142135623730951,1.4142135623730951,0.003507283528645833
p_53,0.9979375252251022,0.9147539853711211,0.9344973845366777,0.7356026302378208,2.23606797749979,2.449489742783178,1.7320508075688772,0.004086100260416667
p_54,0.9995278737181612,0.8562193072492637,0.8550978030515256,0.7323039898854996,2.23606797749979,2.23606797749979,2.23606797749979,0.006461181640625
p_55,0.9958622168284782,0.9089977756202592,0.9252048008703941,0.7260020078069733,2.8284271247461903,3.0,2.23606797749979,0.004257405598958333
p_56,0.9969110281581008,0.9214413047965131,0.9144783533716112,0.7090238935086445,2.23606797749979,3.0,2.23606797749979,0.0027699788411458333
