T2toT1_ScaMorphDiff_ncc1_reg1
,Background,WT,TC,ET,,HD_wt,HD_tc,HD_etnon_jec
p_38,0.999655847871908,0.8731388175390514,0.8332111431859658,0.8062996186624285,2.0,2.23606797749979,2.23606797749979,0.0
p_39,0.9991812808066568,0.9410987770879513,0.9151587690593164,0.8335965975596608,1.4142135623730951,1.7320508075688772,1.7320508075688772,8.138020833333334e-07
p_40,0.9982645006565943,0.9194095534533878,0.9111380830743645,0.832436111369211,2.0,2.0,2.0,0.0
p_41,0.998074696017221,0.9328471788467027,0.9442368033943865,0.8310921102477897,2.0,1.7320508075688772,1.7320508075688772,0.0
p_42,0.9987479238892826,0.9235788569691805,0.9436315288771973,0.7285866682512865,2.23606797749979,1.4142135623730951,1.4142135623730951,5.167643229166667e-05
p_43,0.9992154258640076,0.9151680652596279,0.8644334396362171,0.7611492275863714,2.449489742783178,2.23606797749979,2.0,4.069010416666667e-07
p_44,0.9997238242809526,0.9315997164495599,0.9325760025508177,0.79166468395658,1.4142135623730951,1.4142135623730951,1.7320508075688772,2.0345052083333335e-07
p_45,0.9990558475792781,0.9337407409413043,0.9414734340194667,0.7839175340799774,2.0,1.7320508075688772,1.7320508075688772,4.069010416666667e-07
p_46,0.998368225263605,0.9297212969561113,0.9197209449403569,0.8251241290518748,2.0,2.0,2.0,0.0
p_47,0.9963314882520292,0.9078660042794712,0.8816621088538775,0.6303352962549755,3.0,2.8284271247461903,2.23606797749979,2.4820963541666667e-05
p_48,0.9983401216722833,0.9083506315492758,0.9265469422492267,0.7399864588381891,2.0,1.7320508075688772,1.4142135623730951,2.848307291666667e-06
p_49,0.9981257480888182,0.8980629021028577,0.8770694759243896,0.8433785299675056,2.449489742783178,2.23606797749979,2.0,0.0
p_50,0.999091182488948,0.9343778856055541,0.9342717247493177,0.5986527802888751,2.0,2.23606797749979,2.0,3.2552083333333335e-06
p_51,0.9980676655645563,0.920112850734602,0.901026383615512,0.7110647890604788,2.0,2.23606797749979,2.0,1.6276041666666668e-06
p_52,0.999092099143679,0.9147315263631531,0.9232442973727325,0.8067757373839888,1.7320508075688772,1.4142135623730951,1.4142135623730951,2.2379557291666667e-06
p_53,0.9979402523118001,0.9151981055598608,0.9382702300830074,0.744668719267343,2.23606797749979,2.449489742783178,1.7320508075688772,6.103515625e-07
p_54,0.9995710285557404,0.8708557379410491,0.870372416360718,0.7408868330108224,2.23606797749979,2.23606797749979,2.23606797749979,6.04248046875e-05
p_55,0.995764444799353,0.9071336453464879,0.9311635242224694,0.7292687210201927,2.8284271247461903,2.8284271247461903,2.23606797749979,3.662109375e-06
p_56,0.9969443598228801,0.9218411190951803,0.9144747056834822,0.7009275180161367,2.23606797749979,3.0,2.23606797749979,0.0
p_57,0.9985222467660777,0.9328717696400903,0.9354548909043006,0.770490635794276,2.0,2.0,2.0,2.0345052083333335e-07
p_58,0.9975167678392055,0.9274755798626674,0.9231757613480983,0.7136532453558239,2.23606797749979,2.23606797749979,2.23606797749979,0.0
p_59,0.9983024172896777,0.9026159856018302,0.8839537064024411,0.6637893825042971,2.0,2.23606797749979,2.23606797749979,0.0
p_60,0.9997789867070183,0.8189554473394332,0.7810578089769213,0.7482876696312336,2.0,2.0,1.7320508075688772,2.0345052083333335e-07
p_61,0.9985678745212476,0.9271340738883219,0.944191634033967,0.7859990274555181,1.4142135623730951,1.4142135623730951,1.4142135623730951,7.5276692708333335e-06
p_62,0.998704539142291,0.858950427445487,0.9069802319023966,0.8049820558138138,2.23606797749979,1.4142135623730951,1.4142135623730951,3.662109375e-06
p_63,0.9982223030261177,0.9165418850912552,0.9137502944239674,0.7433737233530097,2.0,2.23606797749979,2.23606797749979,1.4241536458333334e-06
p_64,0.9976484522308767,0.8897247259006225,0.8798450473362323,0.7924681107530703,2.8284271247461903,2.8284271247461903,2.23606797749979,2.7872721354166667e-05
p_65,0.9979642663014154,0.9460041382096387,0.9377397409377246,0.8157596921124131,2.23606797749979,2.23606797749979,2.23606797749979,0.0
p_66,0.9957964588925907,0.9249058732594729,0.9159895673167212,0.7593728921677848,2.449489742783178,3.1622776601683795,2.449489742783178,0.0
p_67,0.9988329522034604,0.9479402990174519,0.9560443518356729,0.8050211315200559,1.7320508075688772,1.4142135623730951,1.4142135623730951,0.0
p_68,0.9966225172261788,0.9097726554842975,0.9087105701719779,0.850048278423086,2.23606797749979,2.23606797749979,2.23606797749979,5.5338541666666664e-05
