T1toT2_ScaMorphDiff_ncc1_reg1
,Background,WT,TC,ET,,HD_wt,HD_tc,HD_etnon_jec
p_24,0.9987832960589558,0.9623772535667123,0.8971445371076731,0.8150485223867338,1.4142135623730951,1.4142135623730951,1.4142135623730951,4.21142578125e-05
p_25,0.9996720877867256,0.9158212083062468,0.9000738901638311,0.8719614024531632,1.7320508075688772,1.7320508075688772,1.4142135623730951,7.99560546875e-05
p_26,0.9990215468907659,0.9260387530345662,0.8976108434161032,0.8587764988833975,1.4142135623730951,1.4142135623730951,1.7320508075688772,5.126953125e-05
p_27,0.9972293974465899,0.9071458414205613,0.9332775230431015,0.7921275038130147,2.23606797749979,2.449489742783178,2.23606797749979,0.0004427083333333333
p_28,0.9988278861241184,0.9459005698262611,0.9283417495300123,0.8434913888331061,1.7320508075688772,2.23606797749979,2.0,3.194173177083333e-05
p_29,0.9990226520585517,0.9398921695188391,0.9549379900140543,0.7876749879769591,2.0,1.7320508075688772,1.4142135623730951,9.033203125e-05
p_30,0.9995568332284448,0.867355043420494,0.8942960966232453,0.8099241328583924,2.0,1.7320508075688772,1.4142135623730951,0.00018778483072916667
p_31,0.9992894954642827,0.9549911631239779,0.8018154298170862,0.3747609870982603,1.4142135623730951,1.4142135623730951,1.7320508075688772,0.00011271158854166667
p_32,0.9989303275376995,0.9603617344611588,0.9477832511517171,0.8600664950410524,1.4142135623730951,2.0,1.7320508075688772,0.000147705078125
p_33,0.9977512742072429,0.9174010501075706,0.9437384769994114,0.8858699069290829,1.7320508075688772,1.4142135623730951,1.4142135623730951,2.5227864583333333e-05
p_34,0.9992370198495822,0.9536241538432672,0.9382829847434696,0.7788030048961823,1.4142135623730951,2.23606797749979,2.0,0.0001416015625
p_35,0.9973979501090837,0.8698017796800959,0.9140665420878156,0.7264631304033348,2.0,2.8284271247461903,2.23606797749979,0.00023335774739583333
p_36,0.998930593018639,0.927923853459229,0.8242115846256366,0.7070548866611698,2.0,2.449489742783178,2.23606797749979,4.2521158854166666e-05
p_37,0.9977186286215441,0.9299949395185804,0.9377342805770373,0.8153290247995377,1.7320508075688772,2.0,1.7320508075688772,1.2613932291666667e-05
p_38,0.9997137156505954,0.8897616145427634,0.8661507956346162,0.8426189502218931,2.0,2.23606797749979,2.0,6.103515625e-07
p_39,0.9992305295962346,0.9464753550523278,0.9205806165581886,0.8421284354858393,1.4142135623730951,1.7320508075688772,1.4142135623730951,0.0001104736328125
p_40,0.9987037667808317,0.9378881368960048,0.9243421050179482,0.8596485690843091,1.4142135623730951,1.7320508075688772,1.7320508075688772,6.266276041666666e-05
p_41,0.9982344899560238,0.9415268208548139,0.9352813828248951,0.8127253710037736,2.0,2.0,1.7320508075688772,4.659016927083333e-05
p_42,0.9986499593923994,0.9119614194941732,0.9261645101660047,0.7125123750237939,2.23606797749979,2.0,1.4142135623730951,9.1552734375e-05
p_43,0.9995761055731138,0.9527503202278109,0.8843365474663542,0.792640796342379,1.4142135623730951,2.0,1.7320508075688772,0.00042338053385416666
p_44,0.9996534806085015,0.9185124679482745,0.9175858012100145,0.7694154581358318,1.7320508075688772,1.7320508075688772,1.9464101615135805,0.0001300048828125
p_45,0.9991856859824407,0.9426293256279935,0.9382792214932418,0.7785179736171393,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.00018961588541666665
p_46,0.9983937031486351,0.9331541528986842,0.9120343882436203,0.8197459723207916,2.0,2.23606797749979,2.23606797749979,6.510416666666667e-06
p_47,0.9982453057111758,0.9541156195536362,0.9262515741093399,0.7261478716351656,1.4142135623730951,2.0,1.7320508075688772,7.059733072916667e-05
p_48,0.9985630050209919,0.9203160711091023,0.9313399482680242,0.7426812232425868,1.7320508075688772,1.7320508075688772,1.4142135623730951,0.00017354329427083333
p_49,0.9986447597781858,0.9230425581399576,0.8921983797379001,0.8607571670972932,2.0,2.23606797749979,2.0,4.374186197916667e-05
p_50,0.9991700265851351,0.9392523716451255,0.9476532950742245,0.6753368848126666,2.23606797749979,2.0,1.4142135623730951,0.0005135091145833334
p_51,0.9985416803483245,0.9371046878156503,0.9165816614365038,0.7624230949450016,1.4142135623730951,2.0,1.4142135623730951,0.0001165771484375
p_52,0.999272322283733,0.9297744449473532,0.9301486017420247,0.8168168163262362,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.00013651529947916667
p_53,0.9982084239129092,0.9307116104493288,0.9425253633052743,0.7661914503549301,2.0,2.23606797749979,1.4142135623730951,0.00025044759114583334
p_54,0.9995205061680996,0.8557479732081343,0.8228214585167065,0.694808413701531,2.23606797749979,2.449489742783178,2.23606797749979,0.0005442301432291666
p_55,0.9976201144656702,0.9474287485743277,0.9557343589728197,0.8170070862067521,1.4142135623730951,1.7320508075688772,1.4142135623730951,0.00029398600260416665
p_56,0.997251559044049,0.9286587873713588,0.9233657062822683,0.735034504796577,2.0,2.8284271247461903,2.23606797749979,1.3631184895833333e-05
p_57,0.9987530961959045,0.9445477505044477,0.9506269192766567,0.8049779456944237,1.7320508075688772,1.4142135623730951,1.7320508075688772,7.914225260416666e-05
p_58,0.9983092006063877,0.9475665431122858,0.9284657791340203,0.7364138254877922,2.0,2.23606797749979,2.0,0.0002880859375
p_59,0.9987344363155383,0.9221444924369026,0.8995428379800688,0.705427539190484,1.4142135623730951,2.23606797749979,2.0,2.6448567708333334e-06
